bucket,action_type,exact_action,campaign,ad_group,keyword_or_search_term,match_type,evidence,risk,rollback,decision
REJECT,negative,REJECT: Exact negative top wedding bands ireland,Shared negative list,All search campaigns,top wedding bands ireland,Exact,"Generated 1 Google Ads conversion; protected until lead quality says otherwise. Source cost 4.73, conversions 1.00.",High: blocks a search term with a Google Ads conversion.,Remove the negative keyword from the shared list/campaign negatives.,REJECT
APPROVE_NOW,negative,APPROVE_NOW: Exact negative top 10 wedding bands ireland,Shared negative list,All search campaigns,top 10 wedding bands ireland,Exact,"Research/listicle query with no Google Ads conversion and no verified paid-lead evidence. Exact only. Source cost 3.74, conversions 0.00.",Low if exact only; do not add phrase/broad top variants.,Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative entourage wedding band,Shared negative list,All search campaigns,entourage wedding band ireland,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 2.40, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative dream band,Shared negative list,All search campaigns,dream band ireland,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 2.20, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
APPROVE_NOW,negative,APPROVE_NOW: Phrase negative the reillys wedding band,Shared negative list,All search campaigns,the reillys wedding band,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 2.19, conversions 0.00.","Medium-low: phrase negative is narrow to a competitor/service phrase, but verify not already covered.",Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative catch 22 band,Shared negative list,All search campaigns,catch 22 band ireland,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 2.18, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative switch band,Shared negative list,All search campaigns,switch band ireland,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 2.13, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
APPROVE_NOW,negative,APPROVE_NOW: Phrase negative the good hustle wedding band,Shared negative list,All search campaigns,the good hustle wedding band,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.80, conversions 0.00.","Medium-low: phrase negative is narrow to a competitor/service phrase, but verify not already covered.",Remove the negative keyword from the shared list/campaign negatives.,APPROVE_NOW
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative nightfall band,Shared negative list,All search campaigns,nightfall band limerick,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.38, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
HOLD,negative,HOLD_DUPLICATE_CHECK: Phrase negative blue moose wedding band,Shared negative list,All search campaigns,blue moose wedding band price,Phrase,"Clicked term has no Google Ads conversion and no verified paid-lead evidence; narrow phrase negative only. Source cost 1.38, conversions 0.00.",Likely already covered by the existing waste negative list; avoid duplicates.,Remove the negative keyword from the shared list/campaign negatives.,HOLD_DUPLICATE_CHECK
