Campaign,Ad group,Final URL,Notes
Search - Brand & Bands,MusicAngel brand,https://musicangel.ie/,Owned brand demand.
Search - Brand & Bands,Band names,https://musicangel.ie/compare-bands/,Owned band-name demand.
Search - Wedding Bands Ireland,Wedding bands Ireland,https://musicangel.ie/,Primary commercial intent.
Search - Wedding Bands Ireland,Wedding band prices,https://musicangel.ie/wedding-band-cost-ireland/,Pricing intent usually converts well.
Search - Wedding Bands Ireland,Band and DJ package,https://musicangel.ie/wedding-band-and-dj-package/,Package-specific demand.
Search - Wedding Bands Ireland,Showcases,https://musicangel.ie/wedding-band-showcases/,Mid-funnel but commercially useful.
Search - Wedding Bands Ireland,Ceremony and drinks music,https://musicangel.ie/drinks-reception-music/,Add-on intent; keep bids lower.
Search - Venue Wedding Bands,Ashford Castle,https://musicangel.ie/wedding-band-ashford-castle/,"Ashford Castle, Mayo."
Search - Venue Wedding Bands,Dromoland Castle,https://musicangel.ie/wedding-band-dromoland-castle/,"Dromoland Castle, Clare."
Search - Venue Wedding Bands,Adare Manor,https://musicangel.ie/wedding-band-adare-manor/,"Adare Manor, Limerick."
Search - Venue Wedding Bands,Powerscourt House,https://musicangel.ie/wedding-band-powerscourt-house/,"Powerscourt House, Wicklow."
Search - Venue Wedding Bands,Tankardstown House,https://musicangel.ie/wedding-band-tankardstown-house/,"Tankardstown House, Meath."
Search - Venue Wedding Bands,The K Club,https://musicangel.ie/wedding-band-the-k-club/,"The K Club, Kildare."
Search - Venue Wedding Bands,Castle Leslie,https://musicangel.ie/wedding-band-castle-leslie/,"Castle Leslie, Monaghan."
Search - Venue Wedding Bands,Lough Eske Castle,https://musicangel.ie/wedding-band-lough-eske-castle/,"Lough Eske Castle, Donegal."
Search - Venue Wedding Bands,Ballyfin Demesne,https://musicangel.ie/wedding-band-ballyfin-demesne/,"Ballyfin Demesne, Laois."
Search - Venue Wedding Bands,Ballybeg House,https://musicangel.ie/wedding-band-ballybeg-house/,"Ballybeg House, Wicklow."
Search - Venue Wedding Bands,Cabra Castle,https://musicangel.ie/wedding-band-cabra-castle/,"Cabra Castle, Cavan."
Search - Venue Wedding Bands,Mount Juliet Estate,https://musicangel.ie/wedding-band-mount-juliet-estate/,"Mount Juliet Estate, Kilkenny."
Search - Venue Wedding Bands,Carton House,https://musicangel.ie/wedding-band-carton-house/,"Carton House, Kildare."
Search - Venue Wedding Bands,Castlemartyr Resort,https://musicangel.ie/wedding-band-castlemartyr-resort/,"Castlemartyr Resort, Cork."
Search - Venue Wedding Bands,Fota Island Resort,https://musicangel.ie/wedding-band-fota-island-resort/,"Fota Island Resort, Cork."
Search - Venue Wedding Bands,Glenlo Abbey Hotel,https://musicangel.ie/wedding-band-glenlo-abbey-hotel/,"Glenlo Abbey Hotel, Galway."
Search - Venue Wedding Bands,Ballymaloe House,https://musicangel.ie/wedding-band-ballymaloe-house/,"Ballymaloe House, Cork."
Search - Venue Wedding Bands,Mount Falcon Estate,https://musicangel.ie/wedding-band-mount-falcon-estate/,"Mount Falcon Estate, Mayo."
Search - Venue Wedding Bands,Marlfield House,https://musicangel.ie/wedding-band-marlfield-house/,"Marlfield House, Wexford."
Search - Venue Wedding Bands,Faithlegg House Hotel,https://musicangel.ie/wedding-band-faithlegg-house/,"Faithlegg House Hotel, Waterford."
Search - Venue Wedding Bands,Cliff House Hotel,https://musicangel.ie/wedding-band-cliff-house-hotel/,"Cliff House Hotel, Waterford."
Search - Venue Wedding Bands,Lyrath Estate,https://musicangel.ie/wedding-band-lyrath-estate/,"Lyrath Estate, Kilkenny."
Search - Venue Wedding Bands,Bellinter House,https://musicangel.ie/wedding-band-bellinter-house/,"Bellinter House, Meath."
Search - Venue Wedding Bands,Park Hotel Kenmare,https://musicangel.ie/wedding-band-park-hotel-kenmare/,"Park Hotel Kenmare, Kerry."
Search - Venue Wedding Bands,Sheen Falls Lodge,https://musicangel.ie/wedding-band-sheen-falls-lodge/,"Sheen Falls Lodge, Kerry."
Search - Venue Wedding Bands,Trump International Doonbeg,https://musicangel.ie/wedding-band-trump-international-doonbeg/,"Trump International Doonbeg, Clare."
Search - Venue Wedding Bands,Brooklodge & Macreddin Village,https://musicangel.ie/wedding-band-brooklodge/,"Brooklodge & Macreddin Village, Wicklow."
Search - Venue Wedding Bands,Tinakilly Country House,https://musicangel.ie/wedding-band-tinakilly-country-house/,"Tinakilly Country House, Wicklow."
Search - Venue Wedding Bands,Druids Glen Hotel & Golf Resort,https://musicangel.ie/wedding-band-druids-glen/,"Druids Glen Hotel & Golf Resort, Wicklow."
